28,25,Sailing,Sailing Mixed Three Person Keelboat,
28,26,Sailing,Sailing Mixed Three Person Keelboat,
29,4,Hockey,Hockey Women's Hockey,Bronze
30,12,Rowing,Rowing Men's Lightweight Double Sculls,Silver
30,11,Rowing,Rowing Men's Lightweight Double Sculls,
31,27,Athletics,Athletics Men's Pole Vault,
32,13,Athletics,Athletics Men's High Jump,
33,5,Sailing,Sailing Men's Two Person Dinghy,
33,12,Sailing,Sailing Men's Two Person Dinghy,
34,1,Athletics,"Athletics Men's 1,500 metres",
35,17,Bobsleigh,Bobsleigh Men's Four,
36,12,Swimming,Swimming Men's 100 metres Butterfly,
36,12,Swimming,Swimming Men's 200 metres Butterfly,
36,12,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
36,11,Swimming,Swimming Men's 100 metres Butterfly,
36,11,Swimming,Swimming Men's 200 metres Butterfly,
37,12,Football,Football Women's Football,Bronze
38,2,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
39,13,Fencing,"Fencing Men's Foil, Individual",
39,13,Fencing,"Fencing Men's epee, Individual",
39,13,Fencing,"Fencing Men's epee, Team",
40,9,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
40,28,Speed Skating,"Speed Skating Men's 1,500 metres",
40,28,Speed Skating,"Speed Skating Men's 5,000 metres",
40,22,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
40,22,Speed Skating,"Speed Skating Men's 5,000 metres",
40,22,Speed Skating,"Speed Skating Men's 10,000 metres",
41,2,Football,Football Men's Football,
42,13,Sailing,Sailing Mixed 8 metres,Gold
43,5,Equestrianism,"Equestrianism Mixed Jumping, Individual",
44,17,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
44,17,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
44,8,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
44,8,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
44,8,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
45,27,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
46,27,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
46,16,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
46,9,Shooting,Shooting Men's Trap,
46,28,Shooting,Shooting Men's Trap,
46,22,Shooting,Shooting Men's Trap,
47,2,Athletics,Athletics Men's 4 x 100 metres Relay,
47,2,Athletics,Athletics Men's Long Jump,
47,14,Athletics,Athletics Men's Long Jump,
47,29,Athletics,Athletics Men's Long Jump,
48,1,Boxing,Boxing Men's Light-Welterweight,
49,21,Athletics,Athletics Women's Javelin Throw,
49,19,Athletics,Athletics Women's Javelin Throw,
50,5,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
50,12,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
51,20,Gymnastics,Gymnastics Men's Individual All-Around,
51,20,Gymnastics,Gymnastics Men's Floor Exercise,
51,20,Gymnastics,Gymnastics Men's Parallel Bars,
51,20,Gymnastics,Gymnastics Men's Horizontal Bar,
51,20,Gymnastics,Gymnastics Men's Rings,
51,20,Gymnastics,Gymnastics Men's Pommelled Horse,
52,30,Athletics,Athletics Men's Pole Vault,
53,11,Taekwondo,Taekwondo Men's Flyweight,
54,16,Boxing,Boxing Men's Heavyweight,
55,20,Athletics,"Athletics Men's 5,000 metres",
56,28,Cycling,"Cycling Men's Road Race, Individual",
56,28,Cycling,"Cycling Men's Road Race, Team",Gold
57,4,Boxing,Boxing Men's Light-Welterweight,
58,14,Cycling,"Cycling Men's Road Race, Individual",
58,14,Cycling,"Cycling Men's Road Race, Team",
59,28,Weightlifting,Weightlifting Men's Lightweight,
59,22,Weightlifting,Weightlifting Men's Middleweight,
60,22,Weightlifting,Weightlifting Men's Middleweight,
61,22,Football,Football Men's Football,
62,20,Rowing,Rowing Men's Coxless Pairs,Bronze
63,19,Fencing,"Fencing Men's epee, Individual",Bronze
64,5,Judo,Judo Men's Half-Middleweight,
65,20,Taekwondo,Taekwondo Women's Flyweight,Bronze
66,26,Boxing,Boxing Men's Flyweight,
67,19,Athletics,Athletics Women's Javelin Throw,Silver
67,1,Athletics,Athletics Women's Javelin Throw,
68,11,Swimming,Swimming Men's 100 metres Butterfly,
68,11,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
69,19,Basketball,Basketball Women's Basketball,
70,11,Diving,Diving Men's Platform,
71,5,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",
71,5,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
72,21,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
72,19,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
73,19,Handball,Handball Men's Handball,Gold
73,1,Handball,Handball Men's Handball,Gold
73,20,Handball,Handball Men's Handball,Silver
74,1,Rowing,Rowing Women's Coxless Pairs,
75,21,Fencing,"Fencing Men's epee, Individual",
76,11,Football,Football Men's Football,Gold
77,25,Boxing,Boxing Men's Middleweight,
78,12,Judo,Judo Men's Lightweight,
79,14,Boxing,Boxing Men's Featherweight,
80,12,Water Polo,Water Polo Men's Water Polo,Gold
81,21,Football,Football Men's Football,
82,11,Tennis,Tennis Men's Doubles,
83,5,Shooting,Shooting Mixed Skeet,
84,21,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
85,30,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
85,10,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
85,24,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
86,10,Athletics,"Athletics Men's 1,500 metres",
86,24,Athletics,"Athletics Men's 1,500 metres",Bronze
87,23,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
88,10,Athletics,Athletics Women's Shot Put,
89,24,Rowing,Rowing Men's Coxed Eights,
90,21,Cycling,Cycling Women's Sprint,Silver
90,21,Cycling,Cycling Women's 500 metres Time Trial,
91,1,Athletics,Athletics Men's 110 metres Hurdles,
92,19,Football,Football Men's Football,
93,21,Handball,Handball Men's Handball,
93,19,Handball,Handball Men's Handball,Gold
94,24,Shooting,Shooting Mixed Trap,
95,21,Athletics,Athletics Women's Marathon,
96,21,Athletics,Athletics Men's 100 metres,
97,30,Athletics,Athletics Men's High Jump,
98,25,Fencing,"Fencing Men's Foil, Individual",
98,25,Fencing,"Fencing Men's Foil, Team",
98,25,Fencing,"Fencing Men's Sabre, Team",
99,5,Fencing,"Fencing Men's Sabre, Team",Silver
100,27,Swimming,Swimming Men's 100 metres Freestyle,
100,27,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
101,26,Boxing,Boxing Men's Lightweight,
102,2,Football,Football Men's Football,
102,29,Football,Football Men's Football,
103,27,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
104,26,Athletics,Athletics Men's 100 metres,
105,1,Boxing,Boxing Men's Welterweight,
105,20,Boxing,Boxing Men's Middleweight,
106,4,Rowing,Rowing Men's Quadruple Sculls,Gold
